Date,Name of Species,Small (in Rs.),Medium (in Rs.),Large (in Rs.)
10/1/2022,Flower tail prawn,600.06,0,0
10/1/2022,Four finger thread fin,554.89,0,0
10/1/2022,Frigate tuna,410.4,0,0
10/1/2022,Giant catfish,600.04,0,0
10/1/2022,Giant tiger prawn,475.12,0,0
10/1/2022,Gold spot mullet,561.48,0,0
10/1/2022,Gold spotted granadier anchovy,264.59,0,0
10/1/2022,Greasy grouper,601.82,0,0
10/1/2022,Green mud crab,741.31,0,0
10/1/2022,Grey mullet,505.12,0,0
10/1/2022,Hound needle fish,537.15,0,0
10/1/2022,Indian mackerel,458.33,0,0
10/1/2022,Indian squid,528.47,0,0
10/1/2022,Indian white prawn,555.15,0,0
10/1/2022,Indo-pacific seer fish,983.13,0,0
10/1/2022,Japanese threadfin bream,428.66,0,0
10/1/2022,Jinga prawn,504.58,0,0
10/1/2022,John\'s snapper,621.97,0,0
10/1/2022,Kiddi shrimp,398,0,0
10/1/2022,Little tuna,532.14,0,0
10/1/2022,Long tail tuna,494.72,0,0
10/1/2022,Malabar anchovy,401.45,0,0
10/1/2022,Malabar blood snapper,520.56,0,0
10/1/2022,Malabar grouper,565.33,0,0
10/1/2022,Narrow-barred spanish mackerel,981.7,0,0
10/1/2022,Pearl Spot,365.99,0,0
10/1/2022,Silver pomfret,669.55,0,0
10/1/2022,Small head hairtail,312.99,0,0
10/1/2022,Spineless cuttle fish,573.8,0,0
10/1/2022,Spiny cheek grouper,628.1,0,0
10/1/2022,Spotted crab,565.06,0,0
10/1/2022,Spotted eagle ray,619.7,0,0
11/1/2022,Asian Seabass,713.76,0,0
11/1/2022,Big eye trevally,608.2,0,0
11/1/2022,Black barred half beak,588.32,0,0
11/1/2022,Black pomfret,767.71,0,0
11/1/2022,Blue Swimming Crab,717.53,0,0
11/1/2022,Bombay duck,340.4,0,0
11/1/2022,Flower tail prawn,631.18,0,0
11/1/2022,Four finger thread fin,610.55,0,0
11/1/2022,Frigate tuna,438.3,0,0
11/1/2022,Giant catfish,639.26,0,0
11/1/2022,Giant tiger prawn,516.58,0,0
11/1/2022,Gold spot mullet,581.45,0,0
11/1/2022,Gold spotted granadier anchovy,263.81,0,0
11/1/2022,Greasy grouper,581.74,0,0
11/1/2022,Green mud crab,714.37,0,0
11/1/2022,Grey mullet,513.68,0,0
11/1/2022,Hound needle fish,557.65,0,0
11/1/2022,Indian mackerel,452.05,0,0
11/1/2022,Indian squid,572.55,0,0
11/1/2022,Indian white prawn,578.44,0,0
11/1/2022,Indo-pacific seer fish,1048.4,0,0
11/1/2022,Japanese threadfin bream,483.12,0,0
11/1/2022,Jinga prawn,532.62,0,0
11/1/2022,John\'s snapper,645.17,0,0
11/1/2022,Kiddi shrimp,434.54,0,0
11/1/2022,Little tuna,552.69,0,0
11/1/2022,Long tail tuna,503.1,0,0
11/1/2022,Malabar anchovy,398.16,0,0
11/1/2022,Malabar blood snapper,569.5,0,0
11/1/2022,Malabar grouper,567.92,0,0
11/1/2022,Narrow-barred spanish mackerel,1034.84,0,0
11/1/2022,Pearl Spot,386.34,0,0
11/1/2022,Silver pomfret,661.04,0,0
11/1/2022,Small head hairtail,331.56,0,0
11/1/2022,Spineless cuttle fish,564.53,0,0
11/1/2022,Spiny cheek grouper,677.11,0,0
11/1/2022,Spotted crab,585.11,0,0
11/1/2022,Spotted eagle ray,648.97,0,0
12/1/2022,Asian Seabass,691.63,0,0
12/1/2022,Big eye trevally,577.96,0,0
12/1/2022,Black barred half beak,611.16,0,0
